algorithm,n,time
four-quartic,30,0.06344985961914062
four-quartic,30,0.06129789352416992
four-quartic,30,0.059751033782958984
four-quartic,30,0.06038689613342285
four-quartic,30,0.05875134468078613
four-quartic,42,0.06323814392089844
four-quartic,42,0.0727841854095459
four-quartic,42,0.07299590110778809
four-quartic,42,0.07521605491638184
four-quartic,42,0.07682418823242188
four-quartic,59,0.0771489143371582
four-quartic,59,0.07432818412780762
four-quartic,59,0.07386493682861328
four-quartic,59,0.07547330856323242
four-quartic,59,0.07539701461791992
four-quartic,84,0.06715703010559082
four-quartic,84,0.06749987602233887
four-quartic,84,0.06555914878845215
four-quartic,84,0.0663149356842041
four-quartic,84,0.06949806213378906
four-quartic,118,0.06638121604919434
four-quartic,118,0.06749701499938965
four-quartic,118,0.06486892700195312
four-quartic,118,0.06666803359985352
four-quartic,118,0.0681920051574707
four-quartic,167,0.07854199409484863
four-quartic,167,0.07767009735107422
four-quartic,167,0.07520174980163574
four-quartic,167,0.07482504844665527
four-quartic,167,0.0752401351928711
four-quartic,235,0.10201120376586914
four-quartic,235,0.10015583038330078
four-quartic,235,0.09938979148864746
four-quartic,235,0.1065511703491211
four-quartic,235,0.10188603401184082
four-quartic,332,0.18059492111206055
four-quartic,332,0.18091392517089844
four-quartic,332,0.18396520614624023
four-quartic,332,0.18162107467651367
four-quartic,332,0.17968201637268066
four-quartic,468,0.5002238750457764
four-quartic,468,0.4864480495452881
four-quartic,468,0.4878089427947998
four-quartic,468,0.49656200408935547
four-quartic,468,0.4938318729400635
four-quartic,660,1.768723964691162
four-quartic,660,1.7621240615844727
four-quartic,660,1.7107410430908203
four-quartic,660,1.7387011051177979
four-quartic,660,1.7597119808197021
four-quartic,931,6.529922008514404
four-quartic,931,6.663823843002319
four-quartic,931,6.506098985671997
four-quartic,931,6.65742826461792
four-quartic,931,6.659533977508545
four-quartic,1313,25.31238603591919
four-quartic,1313,25.35052180290222
four-quartic,1313,25.280247926712036
four-quartic,1313,25.341922998428345
four-quartic,1313,25.44464087486267
four-cubic,30,0.06196999549865723
four-cubic,30,0.06075906753540039
four-cubic,30,0.05930900573730469
four-cubic,30,0.05856490135192871
four-cubic,30,0.06025123596191406
four-cubic,42,0.0590517520904541
four-cubic,42,0.05875205993652344
four-cubic,42,0.059587955474853516
four-cubic,42,0.05977201461791992
four-cubic,42,0.06058216094970703
four-cubic,59,0.06021904945373535
four-cubic,59,0.06017303466796875
four-cubic,59,0.06128215789794922
four-cubic,59,0.06102418899536133
four-cubic,59,0.06026411056518555
four-cubic,84,0.062339067459106445
four-cubic,84,0.06242799758911133
four-cubic,84,0.06236600875854492
four-cubic,84,0.06113409996032715
four-cubic,84,0.06012105941772461
four-cubic,118,0.07353591918945312
four-cubic,118,0.06292414665222168
four-cubic,118,0.0750880241394043
four-cubic,118,0.0747518539428711
four-cubic,118,0.07161092758178711
four-cubic,167,0.07887601852416992
four-cubic,167,0.0773320198059082
four-cubic,167,0.07792901992797852
four-cubic,167,0.07651305198669434
four-cubic,167,0.07347393035888672
four-cubic,235,0.0671072006225586
four-cubic,235,0.06585025787353516
four-cubic,235,0.065582275390625
four-cubic,235,0.07889413833618164
four-cubic,235,0.06819510459899902
four-cubic,332,0.06935596466064453
four-cubic,332,0.06941604614257812
four-cubic,332,0.06814122200012207
four-cubic,332,0.06859397888183594
four-cubic,332,0.06917285919189453
four-cubic,468,0.10661005973815918
four-cubic,468,0.07544088363647461
four-cubic,468,0.07521581649780273
four-cubic,468,0.07712483406066895
four-cubic,468,0.07447099685668945
four-cubic,660,0.09057021141052246
four-cubic,660,0.08790278434753418
four-cubic,660,0.0895071029663086
four-cubic,660,0.0880129337310791
four-cubic,660,0.08942723274230957
four-cubic,931,0.12509393692016602
four-cubic,931,0.1255350112915039
four-cubic,931,0.12515783309936523
four-cubic,931,0.12594819068908691
four-cubic,931,0.12571001052856445
four-cubic,1313,0.21948599815368652
four-cubic,1313,0.21811294555664062
four-cubic,1313,0.21951889991760254
four-cubic,1313,0.21971678733825684
four-cubic,1313,0.22064685821533203
four-cubic,1852,0.478607177734375
four-cubic,1852,0.4788327217102051
four-cubic,1852,0.47887372970581055
four-cubic,1852,0.48151516914367676
four-cubic,1852,0.48041796684265137
four-cubic,2611,1.1964879035949707
four-cubic,2611,1.189845085144043
four-cubic,2611,1.1888651847839355
four-cubic,2611,1.187103033065796
four-cubic,2611,1.1931531429290771
four-cubic,3682,3.198554039001465
four-cubic,3682,3.2536072731018066
four-cubic,3682,3.271009922027588
four-cubic,3682,3.324704885482788
four-cubic,3682,3.2202250957489014
four-cubic,5192,8.829062938690186
four-cubic,5192,8.806658744812012
four-cubic,5192,8.728271722793579
four-cubic,5192,8.72936487197876
four-cubic,5192,8.666185855865479
four-cubic,7321,23.968058824539185
four-cubic,7321,24.02380084991455
four-cubic,7321,24.652037143707275
four-cubic,7321,24.112205028533936
four-cubic,7321,24.254167795181274
four-hashmap,30,0.058680057525634766
four-hashmap,30,0.05824923515319824
four-hashmap,30,0.058248281478881836
four-hashmap,30,0.0842750072479248
four-hashmap,30,0.05718207359313965
four-hashmap,42,0.05780816078186035
four-hashmap,42,0.07384014129638672
four-hashmap,42,0.05724382400512695
four-hashmap,42,0.05751514434814453
four-hashmap,42,0.057418107986450195
four-hashmap,59,0.05722498893737793
four-hashmap,59,0.05741691589355469
four-hashmap,59,0.05833601951599121
four-hashmap,59,0.05827212333679199
four-hashmap,59,0.057533979415893555
four-hashmap,84,0.06020808219909668
four-hashmap,84,0.05995583534240723
four-hashmap,84,0.059565067291259766
four-hashmap,84,0.0610959529876709
four-hashmap,84,0.059092044830322266
four-hashmap,118,0.07436966896057129
four-hashmap,118,0.07466697692871094
four-hashmap,118,0.07281088829040527
four-hashmap,118,0.0722198486328125
four-hashmap,118,0.06182980537414551
four-hashmap,167,0.07654285430908203
four-hashmap,167,0.07642769813537598
four-hashmap,167,0.07363295555114746
four-hashmap,167,0.0770578384399414
four-hashmap,167,0.07645821571350098
four-hashmap,235,0.07956099510192871
four-hashmap,235,0.0827782154083252
four-hashmap,235,0.07000970840454102
four-hashmap,235,0.08067822456359863
four-hashmap,235,0.08393406867980957
four-hashmap,332,0.09400105476379395
four-hashmap,332,0.09163188934326172
four-hashmap,332,0.09003901481628418
four-hashmap,332,0.09094500541687012
four-hashmap,332,0.0908958911895752
four-hashmap,468,0.09931683540344238
four-hashmap,468,0.10263919830322266
four-hashmap,468,0.10005903244018555
four-hashmap,468,0.10119390487670898
four-hashmap,468,0.09979867935180664
four-hashmap,660,0.1075892448425293
four-hashmap,660,0.1113591194152832
four-hashmap,660,0.10730814933776855
four-hashmap,660,0.10494589805603027
four-hashmap,660,0.10576200485229492
four-hashmap,931,0.13810396194458008
four-hashmap,931,0.1356189250946045
four-hashmap,931,0.14068317413330078
four-hashmap,931,0.13956975936889648
four-hashmap,931,0.14702105522155762
four-hashmap,1313,0.2861020565032959
four-hashmap,1313,0.25078678131103516
four-hashmap,1313,0.2434389591217041
four-hashmap,1313,0.2234179973602295
four-hashmap,1313,0.23897600173950195
four-hashmap,1852,0.5649280548095703
four-hashmap,1852,0.5819218158721924
four-hashmap,1852,0.5669770240783691
four-hashmap,1852,0.5915498733520508
four-hashmap,1852,0.5719540119171143
four-hashmap,2611,1.6304988861083984
four-hashmap,2611,1.744687795639038
four-hashmap,2611,1.8043808937072754
four-hashmap,2611,1.6856689453125
four-hashmap,2611,1.746502161026001
four-hashmap,3682,3.847904920578003
four-hashmap,3682,3.749283790588379
four-hashmap,3682,3.751046895980835
four-hashmap,3682,3.764289140701294
four-hashmap,3682,3.7623608112335205
four-hashmap,5192,6.56856107711792
four-hashmap,5192,6.4449310302734375
four-hashmap,5192,6.448078155517578
four-hashmap,5192,5.970513820648193
four-hashmap,5192,6.438626050949097
four-hashmap,7321,13.498224973678589
four-hashmap,7321,13.478230953216553
four-hashmap,7321,13.254519939422607
four-hashmap,7321,12.764994859695435
four-hashmap,7321,13.243149042129517
